0.97,0.55,3.2036
0.15,0.29,1.5893
0.69,0.49,1.6874
0.01,0.33,2.2806
0.49,0.61,1.4283
0.4,0.04,-0.61138
0.24,0.21,0.84802
0.44,0.87,2.5571
0.07,0.5,2.9365
0.87,1,4.8132
0.38,0.24,0.30356
0.9,0.88,4.4394
0.88,0.11,1.2059
0.92,0.76,3.9035
0.29,0.84,3.1506
0.2,0.02,0.46302
0.27,0.4,1.4842
0.98,0.65,3.4997
0.95,0.71,3.8089
0.89,0.66,3.4159
0.23,0.7,2.9077
0.7,0.56,1.9425
0.75,0.17,0.59967
0.09,0.25,1.8256
0.47,0,-0.96198
0.38,0.86,2.6994
0,0.76,3.9714
0.93,0.13,1.4141
0.5,0.59,1.4628
0.79,0.1,0.68194
0.75,0.08,0.2718
0.68,0.33,0.92106
0.11,0.85,4.24
0.29,0.73,2.668
0.47,0.35,0.40646
0.49,0.69,1.7419
0.71,0.71,2.5918
0.73,0.24,0.79467
1,0.54,3.1823
0.39,0.95,3.0582
0.84,0.72,3.3829
0.01,0.37,2.4313
0.54,0.39,0.60716
0.12,0.49,2.7478
0.86,0.86,4.1134
0.46,0.6,1.4119
0.6,0.88,2.7419
0.08,0.83,4.1937
0.69,0.32,0.9437
0.53,0.91,2.6764
0.61,0,-0.74204
0.14,0.78,3.7847
0.84,0.43,2.3908
0.9,0.34,2.2069
0.62,0.1,-0.40992
0.04,0.44,2.6613
0.6,0.76,2.1757
0.82,0.75,3.3722
0.25,0.53,2.2308
0.26,0.88,3.4517
0.63,0.15,-0.15894
0.05,0.62,3.3553
0.36,0.69,2.1631
0.53,0.7,1.8267
0.64,0.98,3.2843
0.96,0.24,1.8149
0.87,0.4,2.3602
0.84,0.35,2.0065
0.39,0.53,1.3973
0.01,0.58,3.3115
0.51,0.77,2.1037
0.16,0.9,4.1049
0.05,0.07,1.2375
0.27,0.43,1.6103
0.82,0.03,0.60153
0.38,0.56,1.6521
0.78,0.26,1.2406
0.89,0.41,2.5559
0.58,1,3.1927
0.96,0.87,4.4471
0.75,0.8,3.1296
0.58,0.42,0.81202
0.68,0.67,2.2344
0.65,0.25,0.42393
0.41,0.42,0.8708
0.42,0.07,-0.55658
0.24,0.69,2.819
0.58,0.71,1.9319
0.03,0.83,4.1653
0.43,0.4,0.71189
0.25,0.93,3.6969
0.25,0.34,1.403
0.61,0.1,-0.43894
0.7,0.37,1.2302
0.9,0.1,1.2203
0.29,0.94,3.5812
0.05,0.13,1.5115
0.42,0.04,-0.65204
0.95,0.57,3.1784
0.27,0.7,2.7691
0.65,0.1,-0.25625
0.41,0.23,0.06892
0.53,0.76,1.9799
0.92,0.87,4.3267
0.82,0.61,2.9265
0.06,0.5,2.9556
0.05,0.74,3.9423
0.9,0.08,1.0413
0.96,0.61,3.4268
0.5,0.24,0.0032022
0.09,0.57,3.1026
0.26,0.43,1.6983
0.52,0.25,0.093292
0.58,0.28,0.32143
0.17,0.01,0.5112
0.11,0.74,3.7517
1,0.21,1.7666
0.64,0.45,1.2061
0.49,0.4,0.63125
0.96,0.64,3.62
0.32,0.01,-0.37957
0.13,0.6,3.0925
0.83,0.62,2.9557
0.61,0.87,2.6924
0.25,0.97,3.7956
0.44,0.6,1.3785
0.06,0.28,2.0024
0.78,0.58,2.5393
0.01,0.25,1.8715
1,0.35,2.3926
0.02,0.33,2.2597
0.89,0,0.74573
0.08,0.24,1.8846
0.74,0.58,2.2499
0.32,0.88,3.0718
0.84,0.9,4.2039
0,0.65,3.608
0.19,0.16,0.89204
0.24,0.32,1.3463
0.22,0.56,2.4487
0.84,0.02,0.70793
0.9,0,0.86681
0.72,0.71,2.6325
0.37,0.97,3.2362
0.89,0.36,2.1993
0.15,1,4.4686
0,0.21,1.8475
0.55,0.22,-0.064089
0.62,1,3.3283
0.94,0.49,2.8757
0.4,0.63,1.6811
0.93,0.92,4.4824
0.47,0.15,-0.3506
0.93,0.28,1.9727
0.93,0.02,0.98755
0.59,0.14,-0.40052
0.71,0.85,3.0467
0.69,0.18,0.38122
0.34,0.1,-0.1051
0.85,0.77,3.7094
0.19,0.1,0.77574
0.42,0.21,-0.094605
0.72,0.61,2.2282
0.77,0.82,3.3815
0.94,0.12,1.4606
0.14,0.32,1.8978
0.86,0.72,3.4736
0.48,0.52,1.2006
0.84,0.59,2.8036
0.46,0.72,1.8711
0.41,0.06,-0.60621
0.89,0.25,1.7025
0.04,0.27,2.0459
0.45,0.9,2.6677
0.82,0.41,2.0151
0,0.47,2.988
0.77,0.62,2.5607
0.21,0.11,0.67829
0.78,0.22,1.0783
0.24,0.26,1.1643
0.75,0.05,0.12763
0.82,0.65,2.9666
0.37,0.48,1.2519
0.49,0.95,2.8091
0.92,0.21,1.7646
0.14,0.49,2.6396
0.8,0.2,1.1148
0.2,0.25,1.3325
0.76,0.43,1.8015
0.32,0.75,2.5567
0.66,0.17,0.25857
0.78,0.36,1.6291
0.23,0.79,3.1657
0.09,0.39,2.2809
0.64,0.91,3.0372
0.56,0.87,2.635
0.11,0.63,3.2243
0.15,0.49,2.4934
0.21,0.45,2.0317
0.07,0.58,3.1798
0.04,0.49,2.8486
0.78,0.93,3.9109
0.17,0.74,3.4894
0.61,0.94,3.0484
0.59,0.99,3.1938
0.65,0.97,3.2798
0.44,0.05,-0.71592
0.11,0.16,1.3455
0.38,0.47,1.1495
0.51,0.24,-0.10257
0.45,0.91,2.6918
0.89,0.29,1.8404
0.81,0.66,2.9823
0.8,0.08,0.66869
0.82,0.48,2.3361
0.42,0.93,2.7782
0.62,0.55,1.4909
0.54,0.19,-0.28573
0.02,0.78,4.2211
0.21,0.73,3.1661
0.1,0.94,4.5384
0.62,0.04,-0.53871
0.13,0.06,0.87827
0.02,0.59,3.426
0.01,0.45,2.7594
0.46,0.34,0.39311
0.71,0.15,0.36702
0.11,0.3,2.0036
0.69,0.82,2.9896
0.9,0.17,1.5126
0.44,0.74,1.9712
0.96,0.31,2.1999
0.98,0.12,1.5545
0.69,0.64,2.172
0.46,0.41,0.68748
0.02,0.32,2.2873
0.41,0.24,0.10722
0.86,0.11,1.0873
0.18,0.04,0.43942
0.86,0.65,3.3585
0.05,0.01,1.05
0,0.13,1.4746
0.62,0.77,2.2945
0.92,0.56,3.0713
0.05,0.72,3.9111
0.71,0.89,3.3207
0.17,0.67,3.1628
0.04,0.58,3.2993
0.09,0.46,2.668
0.94,0.09,1.3501
0.79,0.33,1.5927
0.17,0.02,0.5345
0.85,0.54,2.7667
0.07,0.66,3.5177
0.8,0.92,3.9371
0.92,1,4.8645
0.86,0.12,1.1469
0.22,0.39,1.7911
0.22,0.13,0.78858
0.42,0.69,1.9129
0.83,0.45,2.2327
0.95,0.32,2.187
0.52,0.1,-0.63143
0.82,1,4.4596
0.51,0.66,1.6158
0.59,0.79,2.3826
0.41,0.66,1.7699
0.04,0.64,3.5704
0.72,0.09,0.092413
0.97,0.9,4.5915
0.69,0.67,2.3274
0.33,0.14,-0.017122
0.09,0.54,3.0252
0.38,0.77,2.3388
0.81,0.27,1.4423
0.17,0.98,4.3886
0,0.53,3.1153
0.83,0.44,2.2392
0.24,0.19,0.88211
0.16,0.39,2.0073
0.68,0.29,0.7915
0.23,0.82,3.2936
0.22,0.69,2.8338
0.52,0.86,2.5248
0.19,0.45,2.1626
0.2,0.31,1.4406
0.41,0.22,0.076711
0.86,0.06,0.94961
0.84,0.44,2.2496
0.17,0.63,2.9531
0.21,0.41,1.9807
0.17,0.83,3.7518
0.34,0.84,2.7917
0.32,0.09,-0.076831
0.1,0.69,3.5343
0.22,0.31,1.3358
0.14,0.72,3.5917
0.67,0.49,1.4444
0.37,0.87,2.7985
0.09,0.9,4.3973
0.91,0.49,2.7963
0.51,0.26,0.04419
0.53,0.81,2.2011
0.58,0.22,-0.036959
0.68,0.65,2.1645
0.14,0.09,0.97231
0.57,0.62,1.5298
0.49,0.78,2.1274
0.24,0.23,0.98088
0.05,0.71,3.8606
0.61,0.25,0.31283
0.84,0.2,1.3677
0.76,0.11,0.40273
0.64,0.38,0.85016
0.54,0.57,1.2319
0.26,1,3.8162
0.02,0,0.95155
0.39,0.11,-0.33471
0.25,0.12,0.4332
0.53,0.18,-0.25002
1,0.41,2.6692
0.6,1,3.1575
0.73,0.4,1.5341
1,0.33,2.3912
0.26,0.08,0.27745
0.55,0.29,0.14883
0.65,0.32,0.77226
0.83,0.71,3.2254
0.33,0.41,1.2172
0.38,0.39,0.83465
0.75,0.11,0.42551
0.11,0.53,2.9423
0.58,0.44,0.82263
0.81,0.04,0.51266
0.52,0.34,0.37553
0.26,0.39,1.4717
0.12,0.08,1.038
0.14,0.07,0.8675
0.33,0.66,2.1592
0.99,0.93,4.7519
0.48,0.96,2.8729
0.43,0.11,-0.5687
0.14,0.42,2.3233
0.1,0.65,3.4192
0.24,0.53,2.1697
0.73,0.59,2.331
0.6,0.57,1.4753
0.18,0.73,3.3274
0.78,0.3,1.3081
0,0.18,1.5991
0.63,0.75,2.2962
0.48,0.36,0.56615
0.4,0.57,1.3763
0.72,0.68,2.642
0.58,0.86,2.5378
0.35,0.55,1.6672
0.26,0.57,2.2815
0.57,0.63,1.6507
0.49,0.24,-0.064717
0.74,0.94,3.7067
0.47,0.82,2.3946
0.58,0.04,-0.7826
0.5,0.82,2.3555
0.37,0.17,-0.073283
0.96,0.3,2.081
0.75,0.76,3.0414
0.33,0.85,2.866
0.88,0.89,4.2388
0.37,0.62,1.7522
0.91,0.17,1.454
0.11,0.55,2.969
0.75,0.28,1.1312
0.59,0.48,1.0056
0.98,0.24,1.9861
0,0.7,3.7194
0.04,0.93,4.7362
0.83,0.16,1.0888
0.35,0.03,-0.39004
0.01,0.65,3.581
0.86,0.82,3.9729
0.72,0.62,2.3798
0.47,0.92,2.7229
0.47,0.27,0.082016
0.72,0.81,3.0832
0.18,0.86,3.9869
0.92,0.55,3.0419
0.37,0.75,2.3284
0.8,0.59,2.6072
0.02,0.54,3.1961
0.55,0.37,0.54824
0.47,0.78,2.181
0.18,0.22,1.2782
0.45,0.58,1.3582
0.63,0.9,3.0208
0.87,0.27,1.7548
0.59,0.06,-0.57251
0.92,0.26,1.9058
0.09,0.65,3.4511
0.39,0.17,-0.13756
0.87,0.5,2.746
0.78,0.57,2.5217
0.59,0.45,0.97709
0.07,0.67,3.6104
0.25,0.95,3.7585
0.62,0.33,0.55113
0.8,0.49,2.2348
0.64,0.67,2.0314
0.29,0.45,1.6316
0.91,0.11,1.3135
0.73,0.9,3.5251
0.52,0.53,1.1603
0.96,0.05,1.097
0.01,0.01,1.032
0.66,0.33,0.76913
0.36,0.34,0.73309
0.93,0.3,2.22
0.77,0.45,1.9284
0.4,0.69,1.957
0.74,0.14,0.48975
0.14,0.01,0.63573
0.62,0.68,2.0128
0.74,0.25,0.98537
0.45,0.16,-0.36512
0.49,0.52,1.1548
0.58,0.79,2.3264
0.18,0.91,4.0894
0.46,0.15,-0.45679
0.24,0.13,0.56299
0.39,0.57,1.4849
0.24,0.4,1.5654
0.07,0.75,3.9359
0.15,0.25,1.575
0.11,0.38,2.2282
0.52,0.32,0.21458
0.11,0.28,1.8766
0.32,0.77,2.6289
0.44,0.82,2.3881
0.04,0.95,4.8105
0.14,0.1,1.0329
0.4,0.3,0.43323
0.16,0.79,3.694
0.26,0.75,2.8794
0.78,0.45,1.9722
0.83,0.08,0.76489
0.43,0.13,-0.39556
0.14,0.98,4.5212
0.04,0.35,2.4044
0.19,0.67,2.9992
0.47,0.08,-0.59437
0.23,0.85,3.5703
0.51,0.81,2.2384
0.97,0.79,4.1095
0.06,0.97,4.8904
0.59,0.51,1.1944
0.94,0.91,4.6343
0.77,0.77,3.2118
0.85,0.87,3.9671
0.93,0.73,3.9241
0.62,0.66,1.8654
0.46,0.35,0.41548
0.04,0.9,4.5755
0.83,0.14,1.0623
0.02,0.38,2.4398
0.47,0.44,0.77669
0.17,0.64,2.9708
0.67,0.8,2.7092
0.45,0.15,-0.35033
0.59,0.3,0.37164
0.76,0.42,1.7729
0.38,0.6,1.6276
1,0.8,4.1679
0.67,0.31,0.84314
